stationID	Y	M	D	DOY	depth_30
0080130708	2011	1	1	1	-9999
0080130708	2011	1	2	2	-9999
0080130708	2011	1	3	3	-9999
0080130708	2011	1	4	4	-9999
0080130708	2011	1	5	5	-9999
0080130708	2011	1	6	6	-9999
0080130708	2011	1	7	7	-9999
0080130708	2011	1	8	8	-9999
0080130708	2011	1	9	9	-9999
0080130708	2011	1	10	10	-9999
0080130708	2011	1	11	11	-9999
0080130708	2011	1	12	12	-9999
0080130708	2011	1	13	13	-9999
0080130708	2011	1	14	14	-9999
0080130708	2011	1	15	15	-9999
0080130708	2011	1	16	16	0.068
0080130708	2011	1	17	17	0.068
0080130708	2011	1	18	18	0.068
0080130708	2011	1	19	19	0.068
0080130708	2011	1	20	20	0.068
0080130708	2011	1	21	21	0.068
0080130708	2011	1	22	22	0.068
0080130708	2011	1	23	23	0.068
0080130708	2011	1	24	24	0.068
0080130708	2011	1	25	25	0.068
0080130708	2011	1	26	26	0.063292
0080130708	2011	1	27	27	0.058583
0080130708	2011	1	28	28	0.058667
0080130708	2011	1	29	29	0.062375
0080130708	2011	1	30	30	0.058708
0080130708	2011	1	31	31	0.070375
0080130708	2011	2	1	32	0.087667
0080130708	2011	2	2	33	0.085381
0080130708	2011	2	3	34	0.08575
0080130708	2011	2	4	35	0.075833
0080130708	2011	2	5	36	0.07325
0080130708	2011	2	6	37	0.070909
0080130708	2011	2	7	38	0.064125
0080130708	2011	2	8	39	0.073667
0080130708	2011	2	9	40	0.06781
0080130708	2011	2	10	41	0.06725
0080130708	2011	2	11	42	0.05875
0080130708	2011	2	12	43	0.053042
0080130708	2011	2	13	44	0.051167
0080130708	2011	2	14	45	0.051238
0080130708	2011	2	15	46	0.05075
0080130708	2011	2	16	47	0.06
0080130708	2011	2	17	48	0.06425
0080130708	2011	2	18	49	0.059708
0080130708	2011	2	19	50	0.064444
0080130708	2011	2	20	51	0.079952
0080130708	2011	2	21	52	0.08019
0080130708	2011	2	22	53	0.064083
0080130708	2011	2	23	54	0.062364
0080130708	2011	2	24	55	0.0595
0080130708	2011	2	25	56	0.056792
0080130708	2011	2	26	57	0.061792
0080130708	2011	2	27	58	0.0959
0080130708	2011	2	28	59	0.11029
0080130708	2011	3	1	60	0.087556
0080130708	2011	3	2	61	0.07725
0080130708	2011	3	3	62	0.070333
0080130708	2011	3	4	63	0.062625
0080130708	2011	3	5	64	0.060792
0080130708	2011	3	6	65	0.06081
0080130708	2011	3	7	66	0.074417
0080130708	2011	3	8	67	0.0659
0080130708	2011	3	9	68	0.053167
0080130708	2011	3	10	69	0.049762
0080130708	2011	3	11	70	0.05175
0080130708	2011	3	12	71	0.049875
0080130708	2011	3	13	72	0.048042
0080130708	2011	3	14	73	0.048409
0080130708	2011	3	15	74	0.045292
